"","gmDate","gmTime","teamAbbr","teamLoc","teamRslt","teamMin","teamDayOff","teamPTS","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFGA","teamFGM","teamFG.","team3PA","team3PM","team3P.","teamFTA","teamFTM","teamFT.","teamORB","teamDRB","teamTRB","teamPTS5","teamPTS6","teamPTS7","teamPTS8","opptAbbr","opptMin","opptDayOff","opptPTS","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFGA","opptFGM","opptFG.","oppt3PA","oppt3PM","oppt3P.","opptFTA","opptFTM","opptFT.","opptORB","opptDRB","opptTRB","opptPTS5","opptPTS6","opptPTS7","opptPTS8","nrow","teamCircadian","opptCircadian"
"1174","11/26/2012","19:00","BKN","Home","Win",265,1,96,23,13,5,7,21,91,37,0.4066,28,9,0.3214,19,13,0.6842,18,32,50,12,0,0,0,"NY",265,1,89,14,14,9,2,24,85,33,0.3882,21,6,0.2857,24,17,0.7083,17,33,50,5,0,0,0,196,0,0
"1180","11/26/2012","19:00","WAS","Home","Loss",240,2,92,14,11,10,2,18,90,37,0.4111,14,4,0.2857,17,14,0.8235,15,25,40,0,0,0,0,"SA",240,1,118,32,15,4,5,15,80,45,0.5625,23,13,0.5652,20,15,0.75,10,33,43,0,0,0,0,197,0,0
"1186","11/26/2012","19:30","DET","Home","Win",240,1,108,26,17,6,5,25,80,42,0.525,15,9,0.6,22,15,0.6818,12,35,47,0,0,0,0,"POR",240,1,101,23,11,10,9,24,85,36,0.4235,19,6,0.3158,31,23,0.7419,17,25,42,0,0,0,0,198,0,0
"1192","11/26/2012","20:00","OKC","Home","Win",240,2,114,31,16,3,7,21,78,40,0.5128,27,13,0.4815,23,21,0.913,9,45,54,0,0,0,0,"CHA",240,2,69,12,13,9,4,19,79,23,0.2911,22,6,0.2727,22,17,0.7727,11,26,37,0,0,0,0,199,-1,-1
"1198","11/26/2012","20:00","CHI","Home","Loss",240,2,92,21,15,8,6,21,80,35,0.4375,11,5,0.4545,19,17,0.8947,14,26,40,0,0,0,0,"MIL",240,2,93,23,12,4,12,17,85,39,0.4588,15,3,0.2,19,12,0.6316,13,23,36,0,0,0,0,200,0,0
"1204","11/26/2012","20:00","MEM","Home","Win",240,3,84,16,15,8,5,15,71,33,0.4648,11,4,0.3636,18,14,0.7778,10,23,33,0,0,0,0,"CLE",240,2,78,12,18,10,5,23,76,31,0.4079,16,4,0.25,15,12,0.8,14,27,41,0,0,0,0,201,0,-1
"1210","11/26/2012","21:00","UTA","Home","Win",240,2,105,19,14,9,6,30,78,36,0.4615,22,8,0.3636,34,25,0.7353,13,18,31,0,0,0,0,"DEN",240,1,103,22,17,6,5,26,73,40,0.5479,14,5,0.3571,32,18,0.5625,13,25,38,0,0,0,0,202,1,0
"1216","11/26/2012","22:30","LAC","Home","Loss",240,2,98,26,15,11,5,26,79,37,0.4684,37,18,0.4865,11,6,0.5455,8,24,32,0,0,0,0,"NO",240,1,105,23,15,6,3,19,71,36,0.507,25,15,0.6,23,18,0.7826,7,29,36,0,0,0,0,203,-3,-1
"1222","11/27/2012","19:00","PHI","Home","Win",240,2,100,22,17,9,3,25,75,35,0.4667,14,6,0.4286,32,24,0.75,13,27,40,0,0,0,0,"DAL",240,3,98,23,15,11,1,22,81,37,0.4568,19,5,0.2632,22,19,0.8636,9,28,37,0,0,0,0,204,0,1
"1228","11/27/2012","19:00","CLE","Home","Loss",240,1,78,21,19,9,4,21,84,30,0.3571,15,2,0.1333,22,16,0.7273,14,31,45,0,0,0,0,"PHO",240,2,91,22,15,10,8,19,79,37,0.4684,17,6,0.3529,18,11,0.6111,7,32,39,0,0,0,0,205,1,0
"1234","11/27/2012","20:00","HOU","Home","Win",240,4,117,30,14,11,1,15,83,44,0.5301,26,13,0.5,21,16,0.7619,12,33,45,0,0,0,0,"TOR",240,2,101,25,16,6,2,15,86,42,0.4884,23,8,0.3478,12,9,0.75,11,28,39,0,0,0,0,206,0,-1
"1240","11/27/2012","22:00","SAC","Home","Loss",240,3,89,21,14,11,6,19,84,37,0.4405,17,6,0.3529,14,9,0.6429,8,28,36,0,0,0,0,"MIN",240,3,97,25,17,8,8,16,83,38,0.4578,22,6,0.2727,18,15,0.8333,12,39,51,0,0,0,0,207,0,0
"1246","11/27/2012","22:30","LAL","Home","Loss",240,3,77,13,21,10,5,25,76,24,0.3158,28,6,0.2143,43,23,0.5349,15,41,56,0,0,0,0,"IND",240,4,79,17,17,9,6,32,79,29,0.3671,19,4,0.2105,27,17,0.6296,10,40,50,0,0,0,0,208,-2,-3
"1252","11/28/2012","19:00","ORL","Home","Loss",240,3,89,16,17,8,3,14,95,41,0.4316,15,2,0.1333,8,5,0.625,18,28,46,0,0,0,0,"SA",240,2,110,26,16,12,9,8,84,44,0.5238,25,11,0.44,15,11,0.7333,8,31,39,0,0,0,0,209,0,0
